ticker,company,sector,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue,sentiment_score,sentiment_pos,sentiment_neg,sentiment_neu,gdp_level_q4,gdp_yoy,cpi_yoy_annual
BN.TO,Brookfield Corporation,Financial Services,2025,75100000000.0,1307000000.0,18127000000.0,-14752000000.0,10958000000.0,0.0174034620505992,0.1964314247669773,0.1645,0.2001,0.0356,0.7643,,,
CAE.TO,CAE Inc.,Industrials,2022,3371300000.0,141700000.0,955500000.0,-362800000.0,418200000.0,0.0420312639041319,0.1076142734256814,,,,,594557.3,3.0775165306879737,6.798089916666667
CAE.TO,CAE Inc.,Industrials,2023,4010600000.0,222700000.0,1083500000.0,-425300000.0,408400000.0,0.055527851194335,0.1060439834438737,,,,,602387.8,1.31703033500723,3.8944715
CAE.TO,CAE Inc.,Industrials,2024,4282800000.0,-304000000.0,1154500000.0,-477700000.0,566900000.0,-0.0709816008218922,0.1115391799757168,,,,,621065.3,3.100577402131988,2.3854825
CAE.TO,CAE Inc.,Industrials,2025,4707900000.0,405300000.0,1300100000.0,-444100000.0,896500000.0,0.0860893391958197,0.0943308056670702,,,,,,,
CCO.TO,Cameco Corporation,Energy,2022,1868003000.0,89382000.0,233291000.0,-143448000.0,304607000.0,0.0478489595573454,0.0767921678926639,-0.1315,0.1404,0.2719,0.5877,594557.3,3.0775165306879737,6.798089916666667
CCO.TO,Cameco Corporation,Energy,2023,2587758000.0,360847000.0,561666000.0,-153631000.0,688136000.0,0.139443873808911,0.0593683798871455,,,,,602387.8,1.31703033500723,3.8944715
CCO.TO,Cameco Corporation,Energy,2024,3135772000.0,171853000.0,782582000.0,-211635000.0,905288000.0,0.0548040482535082,0.067490557349195,,,,,621065.3,3.100577402131988,2.3854825
CCO.TO,Cameco Corporation,Energy,2025,3481933000.0,589577000.0,970273000.0,-333025000.0,1408432000.0,0.1693246251435625,0.0956437128457095,,,,,,,
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,2022,21764000000.0,6220000000.0,,-1109000000.0,22715000000.0,0.2857930527476567,0.0509557066715677,,,,,594557.3,3.0775165306879737,6.798089916666667
