ticker,company,sector,employees,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue
BYD.TO,Boyd Group Services Inc.,Consumer Cyclical,13424.0,2024,3070342000.0,24544000.0,1396508000.0,-80457000.0,313325000.0,0.007993897748198735,0.026204572650212907
BYD.TO,Boyd Group Services Inc.,Consumer Cyclical,13424.0,2025,3142794000.0,18420000.0,1458594000.0,-62400000.0,352989000.0,0.0058610268442665986,0.019854944358427565
CAE.TO,CAE Inc.,Industrials,13000.0,2022,3371300000.0,141700000.0,955500000.0,-362800000.0,418200000.0,0.042031263904131935,0.10761427342568149
CAE.TO,CAE Inc.,Industrials,13000.0,2023,4010600000.0,222700000.0,1083500000.0,-425300000.0,408400000.0,0.05552785119433501,0.10604398344387374
CAE.TO,CAE Inc.,Industrials,13000.0,2024,4282800000.0,-304000000.0,1154500000.0,-477700000.0,566900000.0,-0.07098160082189223,0.11153917997571682
CAE.TO,CAE Inc.,Industrials,13000.0,2025,4707900000.0,405300000.0,1300100000.0,-444100000.0,896500000.0,0.08608933919581979,0.09433080566707025
CCO.TO,Cameco Corporation,Energy,,2022,1868003000.0,89382000.0,233291000.0,-143448000.0,304607000.0,0.047848959557345465,0.07679216789266398
CCO.TO,Cameco Corporation,Energy,,2023,2587758000.0,360847000.0,561666000.0,-153631000.0,688136000.0,0.13944387380891105,0.05936837988714555
CCO.TO,Cameco Corporation,Energy,,2024,3135772000.0,171853000.0,782582000.0,-211635000.0,905288000.0,0.05480404825350823,0.06749055734919503
CCO.TO,Cameco Corporation,Energy,,2025,3481933000.0,589577000.0,970273000.0,-333025000.0,1408432000.0,0.1693246251435625,0.09564371284570955
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,50469.0,2022,21764000000.0,6220000000.0,,-1109000000.0,22715000000.0,0.2857930527476567,0.05095570667156773
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,50469.0,2023,23299000000.0,5001000000.0,,-1014000000.0,12154000000.0,0.21464440533928494,0.04352118116657367
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,50469.0,2024,25526000000.0,7115000000.0,,-1089000000.0,11088000000.0,0.27873540703596333,0.04266238345216642
CM.TO,Canadian Imperial Bank of Commerce,Financial Services,50469.0,2025,29014000000.0,8429000000.0,,-1109000000.0,13838000000.0,0.29051492382987526,0.038222926862893775
CNQ.TO,Canadian Natural Resources Limited,Energy,10750.0,2022,49530000000.0,10937000000.0,16260000000.0,-5136000000.0,19391000000.0,0.22081566727236018,0.10369473046638401
CNQ.TO,Canadian Natural Resources Limited,Energy,10750.0,2023,40835000000.0,8233000000.0,11773000000.0,-4909000000.0,12353000000.0,0.20161626056079343,0.12021550140810579
CNQ.TO,Canadian Natural Resources Limited,Energy,10750.0,2024,41509000000.0,6106000000.0,10898000000.0,-5383000000.0,13386000000.0,0.14710062877930088,0.1296827194102484
CNQ.TO,Canadian Natural Resources Limited,Energy,10750.0,2025,44167000000.0,10820000000.0,9401000000.0,-6791000000.0,15106000000.0,0.24497928317522133,0.1537573301333575
CNR.TO,Canadian National Railway Company,Industrials,23839.0,2022,17107000000.0,5118000000.0,7396000000.0,-2750000000.0,6667000000.0,0.29917577599812945,0.16075290816624774
CNR.TO,Canadian National Railway Company,Industrials,23839.0,2023,16828000000.0,5625000000.0,7151000000.0,-3187000000.0,6965000000.0,0.33426432136914663,0.18938673639172807
CNR.TO,Canadian National Railway Company,Industrials,23839.0,2024,17046000000.0,4448000000.0,6967000000.0,-3549000000.0,6699000000.0,0.26094098322187026,0.20820133755719816
CNR.TO,Canadian National Railway Company,Industrials,23839.0,2025,17304000000.0,4720000000.0,7332000000.0,-3658000000.0,7049000000.0,0.2727693018955155,0.2113962089690245
CP.TO,Canadian Pacific Kansas City Limited,Industrials,19479.0,2022,8814000000.0,3517000000.0,3329000000.0,-1557000000.0,4142000000.0,0.399024279555253,0.17665078284547311
CP.TO,Canadian Pacific Kansas City Limited,Industrials,19479.0,2023,12555000000.0,3927000000.0,4388000000.0,-2499000000.0,4137000000.0,0.3127837514934289,0.1990442054958184
CP.TO,Canadian Pacific Kansas City Limited,Industrials,19479.0,2024,14546000000.0,3718000000.0,5179000000.0,-2863000000.0,5269000000.0,0.2556029148906916,0.19682386910490857
CP.TO,Canadian Pacific Kansas City Limited,Industrials,19479.0,2025,15078000000.0,4141000000.0,5609000000.0,-3140000000.0,5309000000.0,0.27463854622628997,0.20825043109165672
CSU.TO,Constellation Software Inc.,Technology,,2022,6622000000.0,512000000.0,2323000000.0,-41000000.0,1297000000.0,0.0773180308064029,0.006191482935668982
CSU.TO,Constellation Software Inc.,Technology,,2023,8405000000.0,565000000.0,2944000000.0,-42000000.0,1779000000.0,0.06722189173111243,0.0049970255800118974
CSU.TO,Constellation Software Inc.,Technology,,2024,10066000000.0,731000000.0,3615000000.0,-67000000.0,2196000000.0,0.07262070335783827,0.006656069938406517
CSU.TO,Constellation Software Inc.,Technology,,2025,11623000000.0,512000000.0,4368000000.0,-68000000.0,2732000000.0,0.044050589348705156,0.005850468897874903
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,11877.0,2022,17810600000.0,1044100000.0,6097900000.0,-735100000.0,466500000.0,0.05862239340617385,0.04127317440176075
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,11877.0,2023,16656500000.0,213300000.0,5703600000.0,-668600000.0,1353700000.0,0.012805811545042477,0.04014048569627473
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,11877.0,2024,15516000000.0,887700000.0,5200800000.0,-628300000.0,2063800000.0,0.05721191028615623,0.04049368393915958
CTC-A.TO,"Canadian Tire Corporation, Limited",Consumer Cyclical,11877.0,2025,16315500000.0,526300000.0,5615300000.0,-663700000.0,952100000.0,0.03225766908767736,0.04067910882289847
CVE.TO,Cenovus Energy Inc.,Energy,7211.0,2022,71765000000.0,6450000000.0,17134000000.0,-3758000000.0,11403000000.0,0.08987668083327527,0.05236535915836411
CVE.TO,Cenovus Energy Inc.,Energy,7211.0,2023,55474000000.0,4109000000.0,12704000000.0,-4298000000.0,7388000000.0,0.07407073584021344,0.07747773731838338
CVE.TO,Cenovus Energy Inc.,Energy,7211.0,2024,57726000000.0,3142000000.0,12765000000.0,-5015000000.0,9235000000.0,0.05442954647819007,0.0868759311228909
CVE.TO,Cenovus Energy Inc.,Energy,7211.0,2025,52751000000.0,3930000000.0,11816000000.0,-4907000000.0,8228000000.0,0.07450095732782316,0.0930219332334932
DCBO.TO,Docebo Inc.,Technology,966.0,2022,142912000.0,7018000.0,114734000.0,-1081000.0,2288000.0,0.049107142857142856,0.0075640953873712495
DCBO.TO,Docebo Inc.,Technology,966.0,2023,180839000.0,2840000.0,146341000.0,-635000.0,15964000.0,0.015704576999430432,0.003511410702337438
DCBO.TO,Docebo Inc.,Technology,966.0,2024,216931000.0,26736000.0,175636000.0,-1245000.0,29249000.0,0.12324656227095251,0.005739152080615495
DCBO.TO,Docebo Inc.,Technology,966.0,2025,242687000.0,37512000.0,194836000.0,-981000.0,28173000.0,0.15456946602001756,0.004042243713095469
DOL.TO,Dollarama Inc.,Consumer Defensive,,2023,5052741000.0,801863000.0,2198206000.0,-156827000.0,869043000.0,0.15869861526644646,0.03103800491653936
DOL.TO,Dollarama Inc.,Consumer Defensive,,2024,5867348000.0,1010460000.0,2613441000.0,-278764000.0,1530954000.0,0.1722174992858784,0.04751107314582329
DOL.TO,Dollarama Inc.,Consumer Defensive,,2025,6413145000.0,1168545000.0,2893746000.0,-243450000.0,1644139000.0,0.18221091211878104,0.03796109397183441
DOL.TO,Dollarama Inc.,Consumer Defensive,,2026,7255754000.0,1309438000.0,3268665000.0,-279335000.0,1761156000.0,0.18046890784886035,0.03849841105417852
EMP-A.TO,Empire Company Limited,Consumer Defensive,129000.0,2022,30162400000.0,745800000.0,7659700000.0,-780300000.0,2107100000.0,0.024726149112802694,0.025869957297827758
EMP-A.TO,Empire Company Limited,Consumer Defensive,129000.0,2023,30478100000.0,686000000.0,7792700000.0,-757700000.0,1605300000.0,0.022507964735334552,0.024860473585951882
EMP-A.TO,Empire Company Limited,Consumer Defensive,129000.0,2024,30733000000.0,726000000.0,8071000000.0,-799000000.0,2073000000.0,0.02362281586568184,0.025998112777795856
